sender,receiver,amount,timestamp,gas_fee,amount,gas_fee,amount_to_gas_ratio,is_self_transfer,address_interaction_delta,hour_sin,hour_cos,dow_sin,dow_cos,label_union,label_isoforest,label_autoencoder,label_text
853,875,3.029834665954138,1704534774,0.028386941240220925,3.029834665954138,0.028386941240220925,106.73335929295654,0,22,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,0,0,0,normal
17,30,2.2980049771923885,1704726140,0.024783219603461408,2.2980049771923885,0.024783219603461408,92.72419349540434,0,13,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0,0,0,normal
245,258,2.7115658715431317,1704261369,0.02449268749862711,2.7115658715431317,0.02449268749862711,110.7091561350122,0,13,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0,0,0,normal
112,1072,0.9486900460364817,1707083856,0.11383436356442271,0.9486900460364817,0.11383436356442271,8.333950601481423,0,960,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,1,1,0,anomaly
339,373,8.515440109018122,1706022620,0.07858367357559534,8.515440109018122,0.07858367357559534,108.36142722714828,0,34,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0,0,0,normal
248,251,4.135835774006208,1704226242,0.04754428756107027,4.135835774006208,0.04754428756107027,86.98910250369688,0,3,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,0,0,normal
389,427,4.324345299853691,1704299132,0.030267745597567283,4.324345299853691,0.030267745597567283,142.8697045578514,0,38,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,0,normal
80,119,2.5415408624947755,1705511453,0.022448869571772268,2.5415408624947755,0.022448869571772268,113.21459738643556,0,39,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0,0,0,normal
104,126,7.123043431853867,1706574757,0.05654902402421236,7.123043431853867,0.05654902402421236,125.96224771592074,0,22,0.0,1.0,0.7818314824680298,0.6234898018587336,0,0,0,normal
373,414,2.9794186181448943,1704297466,0.04012396781288401,2.9794186181448943,0.04012396781288401,74.255315164395,0,41,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0,0,0,normal
444,467,2.7646313919780643,1704388990,0.023666568061713474,2.7646313919780643,0.023666568061713474,116.81584827214785,0,23,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0,0,0,normal
